CANMORE ID,SITE NUMBER,SITE NAME,SITE TYPE,SITE EASTING,SITE NORTHING,COUNCIL,COUNTY,PARISH,NGR,URL
47131,NS89NW 27,Causewayhead,Implement (Antler)(Mesolithic),280000,695000,STIRLING,STIRLINGSHIRE,LOGIE (STIRLING),NS 80 95,http://canmore.org.uk/site/47131
47277,NS90NE 1,"Daer Resevoir, Kirkhope Tower",Bastle (Medieval),296750,606510,SOUTH LANARKSHIRE,LANARKSHIRE,CRAWFORD,NS 9675 0651,http://canmore.org.uk/site/47277
47795,NS97NE 18,Inveravon,Shell Midden (Period Unassigned),295190,679810,FALKIRK,WEST LOTHIAN,BO'NESS AND CARRIDEN,NS 9519 7981,http://canmore.org.uk/site/47795
49494,NT08SE 3,Broomhall,Implement (Antler)(Mesolithic),307600,683800,FIFE,FIFE,DUNFERMLINE,NT 076 838,http://canmore.org.uk/site/49494
51178,NT21NE 5,Berrybush,"Findspot, Microlith (Mesolithic), Worked Object (Flint)",327000,619000,"SCOTTISH BORDERS, THE",SELKIRKSHIRE,YARROW,NT 27 19,http://canmore.org.uk/site/51178
51211,NT22SE 14,St Mary's Loch,"Findspot, Microlith(S) (Mesolithic), Unidentified Flint(S) (Flint), Worked Object(S) (Stone)",327000,623000,"SCOTTISH BORDERS, THE",SELKIRKSHIRE,YARROW,NT 270 230,http://canmore.org.uk/site/51211
51212,NT22SE 15,Kirkstead,"Findspot, Microlith(S) (Mesolithic), Unidentified Flint(S) (Flint), Worked Object(S) (Stone)",326000,624000,"SCOTTISH BORDERS, THE",SELKIRKSHIRE,YARROW,NT 26 24,http://canmore.org.uk/site/51212
51213,NT22SE 16,Eldinhope,"Findspot, Microlith(S) (Mesolithic), Unidentified Flint(S) (Flint), Worked Object(S) (Stone)",329000,624000,"SCOTTISH BORDERS, THE",SELKIRKSHIRE,YARROW,NT 29 24,http://canmore.org.uk/site/51213
51337,NT23NW 63,Manor Bridge,"Findspot, Flake(S) (Chert), Flake(S) (Flint), Microlith(S) (Mesolithic)",323000,639800,"SCOTTISH BORDERS, THE",PEEBLES-SHIRE,PEEBLES,NT 230 398,http://canmore.org.uk/site/51337
52526,NT27SE 610,"Edinburgh, 146 Canongate, Huntly House","House (16th Century), Museum (20th Century), Tenement (16th Century)",326435,673773,"EDINBURGH, CITY OF",MIDLOTHIAN,"EDINBURGH (EDINBURGH, CITY OF)",NT 26435 73773,http://canmore.org.uk/site/52526
